driver_id,signup_date,avg_rating,current_tier,Churned,avg_earnings_per_hour_online,trip_utilization_rate,surge_reliance_score,is_premium_capable,premium_trip_ratio,peak_hour_driver_score,session_regularity,quest_completion_rate,incentive_reliance_pct,pro_tier_rank,cancellation_rate,acceptance_rate,session_count
5729981b-bf65-48ac-a418-95693a8d26ef,2025-07-16 08:43:42.076226-04:00,4.84,Blue,0,12.716965136706547,0.4297086517517402,0.0848195693265681,0,0.0,0.3090909090909091,89.03431009663767,0.0,0.0,1,0.11515151515151516,0.6666666666666666,30
caf9988b-9ff9-4dcc-b9a5-4d6953ac8a0b,2025-11-04 02:36:10.076226-05:00,4.8,Platinum,0,17.065534093667775,0.5253680494421734,0.11367793228517545,0,0.0,0.2981878088962109,3.7053388661149764,0.875,0.11552394654032097,3,0.0931712962962963,0.8511678435632808,132
5d9761b2-ee05-4923-98ca-1f16a4a6df73,2025-06-27 03:06:08.076226-04:00,4.91,Diamond,0,31.851693136124904,0.41995195903319754,0.1766117800560369,1,0.8069241011984021,0.30758988015978694,30.094496663948117,0.16666666666666666,0.0058535566822569,4,0.02199074074074074,0.49764428739693756,114
0a298bab-317f-49f7-a021-432c6cf80366,2025-10-18 22:08:13.076226-04:00,4.94,Platinum,0,31.62745402600499,0.4008300752853844,0.2254394660368479,1,0.7982832618025751,0.2718168812589413,9.30320581905648,0.16666666666666666,0.004039134540316861,3,0.014360313315926894,0.4954068241469816,108
5843b2fc-ffa0-4cd2-a0bc-c950eecab4f0,2025-08-14 01:17:21.076226-04:00,4.72,Blue,1,12.42134760546313,0.4003938299967181,0.14412170623417347,0,0.0,0.2765957446808511,57.36428701384553,0.0,0.0,1,0.14583333333333334,0.5843230403800475,48
36d84007-de77-40ef-b81d-0cdabdc1744e,2025-08-03 13:48:29.076226-04:00,4.74,Gold,1,12.381441177538639,0.4296660331909022,0.057362871869586794,0,0.0,0.2571428571428571,80.17864905039744,0.08333333333333333,0.0744529066472087,2,0.1346153846153846,0.6192660550458715,30
634141a2-f35e-417d-adcf-1d9d1c013846,2025-11-07 12:28:01.076226-05:00,4.79,Platinum,0,17.15737982801419,0.5280018092432948,0.11317706541489475,0,0.0,0.28589580686149935,2.7604403735456082,0.9333333333333333,0.12245534926423202,3,0.07974038015762633,0.8512006861063465,162
530e48c8-9a7f-4bab-9869-ba5c7af88cfb,2025-09-17 07:12:37.076226-04:00,4.78,Platinum,0,17.2340311788575,0.5314999849439275,0.1047172409199332,0,0.0,0.2454434993924666,8.897507775460817,0.9666666666666667,0.1210211126797258,3,0.07965738758029979,0.852101506740682,168
f4a8ca5a-20be-4265-b711-2674ad631029,2025-08-23 01:36:48.076226-04:00,4.83,Gold,1,11.620432998172722,0.3989399867976695,0.07893549853193647,0,0.0,0.1743119266055046,73.7536840525953,0.08333333333333333,0.0711498358557182,2,0.1,0.602510460251046,30
b0b4c0a0-3507-44c1-9f28-c56cfa6c0f17,2025-05-28 11:17:53.076226-04:00,4.93,Diamond,0,23.1641704942869,0.5687468054458436,0.44639040052889706,0,0.0,0.26990881458966565,28.693216367665777,0.6111111111111112,0.040251678011421925,4,0.02068302068302068,0.9447795823665893,138
d253fa9e-e5c5-4c14-a834-94fd94b0c6cf,2025-07-25 05:55:48.076226-04:00,4.65,Blue,0,4.909132064082893,0.17165061240914464,0.074983119252275,0,0.0,0.1891891891891892,59.87746107532939,0.0,0.0,1,0.2028985507246377,0.3055555555555556,30
